doi,title,author,journaltitle,volume,issue,pubdate,pagerange,abstract,FE type,N*T,Methods Citation,Time,Notes
10.2307/20622328,"Party, Electoral Vulnerability, and Earmarks in the U.S. House of Representatives",Jeffrey Lazarus,The Journal of Politics,71,3,2009-07-01,pp. 1050-1061,"Very little attention has been paid to the relationship between House members' electoral vulnerability and the amount of federal spending they procure for their districts. I argue that vulnerable members receive more spending than safe members, on average, but only if they are in the majority party. Party leaders, as part of maintaining or pursuing a majority, have an interest in protecting their party's most vulnerable members. However, the majority party has a greater degree of control over spending than the minority party. This implies that the majority leadership is able to ""protect"" projects which are electorally beneficial to their party's vulnerable members, but the minority leadership is not. As a result, there is a positive relationship between vulnerability and the amount of pork procured among majority members, but not among minority members. Examinations of three different datasets centering on earmark distribution in the U.S. House from the past 15 years confirm these hypotheses.",One-way(Time),*3,,Lagged DV,
10.2307/20622317,Spinning the Globe? U.S. Public Diplomacy and Foreign Public Opinion,"Benjamin E. Goldsmith, Yusaku Horiuchi",The Journal of Politics,71,3,2009-07-01,pp. 863-875,"Global public opinion has emerged as a prominent issue in international relations. But have U.S. public diplomacy efforts during the post-9/11 period successfully improved foreign publics' appraisals of U.S. foreign policy? We examine this question by estimating the effects of U.S. high-level visits to foreign countries on public opinion in those countries. We base our theoretical arguments on the political communication literature, but extend them to consider transnational dynamics in international relations. Specifically, we argue that U.S. leaders' credibility in the eyes of foreign publics is critical in shaping attitudes toward U.S. foreign policy. Empirically, we show that the effects of such visits were initially significantly large and positive, but weakened once the war in Iraq began and international media started reporting negative aspects of the ""war on terror."" Most interestingly, we find some evidence that high-level visits eventually exhibited a backlash effect.",One-way(Within),63*3,,Splines,
10.2307/27798512,Myopic Voters and Natural Disaster Policy,"ANDREW HEALY, NEIL MALHOTRA",The American Political Science Review,103,3,2009-08-01,pp. 387-406,"Do voters effectively hold elected officials accountable for policy decisions? Using data on natural disasters, government spending, and election returns, we show that voters reward the incumbent presidential party for delivering disaster relief spending, but not for investing in disaster preparedness spending. These inconsistencies distort the incentives of public officials, leading the government to underinvest in disaster preparedness, thereby causing substantial public welfare losses. We estimate that $1 spent on preparedness is worth about $15 in terms of the future damage it mitigates. By estimating both the determinants of policy decisions and the consequences of those policies, we provide more complete evidence about citizen competence and government accountability.",Two-way,3141*8,,,
10.2307/27798513,Partisanship and Economic Behavior: Do Partisan Differences in Economic Forecasts Predict Real Economic Behavior?,"ALAN S. GERBER, GREGORY A. HUBER",The American Political Science Review,103,3,2009-08-01,pp. 407-426,"Survey data regularly show that assessments of current and expected future economic performance are more positive when a respondent's partisanship matches that of the president. To determine if this is a survey artifact or something deeper, we investigate whether partisanship is associated with behavioral differences in economic decisions. We construct a new data set of county-level quarterly taxable sales to examine the effect of partisanship on consumption. Consumption change following a presidential election is correlated with a county's partisan complexion, a result consistent with partisal's acting outside the domain of politics in accoraance with the opinions they express in surveys. These results support an expansive view of the role of partisanship in mass politics and help validate surveys as a method for studying political behavior.",Two-way,*15,,,
10.2307/27798509,Religious Competition and Ethnic Mobilization in Latin America: Why the Catholic Church Promotes Indigenous Movements in Mexico,GUILLERMO TREJO,The American Political Science Review,103,3,2009-08-01,pp. 323-342,"This article suggests that a society's religious market structure can explain whether religion is ""the opium of the people"" or a major source of dissident secular mobilization. I present a simple model explaining why under monopolistic conditions, Catholic clergy in Latin America ignored the religious and social needs of poor rural indigenous parishioners but, when confronted by the expansion of U.S. mainline Protestantism, became major institutional promoters of rural indigenous causes. Catholic indigenous parishioners empowered by competition demanded the same benefits their Protestant neighbors were receiving: social services, ecclesiastic decentralization, and the practice of religion in their own language. Unable to decentralize ecclesiastic hierarchies, and facing a reputation deficit for having sided with rich and powerful elites for centuries, Catholic clergy stepped into the secular realm and became active promoters of indigenous movements and ethnic identities; they embraced the cause of the Indians as a member retention strategy and not in response to new doctrinal ideas emanating from Vatican II. Drawing on an original data set of indigenous mobilization in Mexico and on life histories and case studies, I provide quantitative and qualitative evidence of the causal effect of religious competition on the creation of the social bases for indigenous ethnic mobilization.",One-way(Within),333*15,,,
10.2307/20647959,International Organization as a Seal of Approval: European Union Accession and Investor Risk,Julia Gray,American Journal of Political Science,53,4,2009-10-01,pp. 931-949,"Much of the literature on international institutions argues that membership regularizes expectations about members' future behavior. Using the accession of the postcommunist countries as a test case, this article argues that the EU can send strong signals to financial markets about the trajectory of a particular country. Examining spreads on sovereign debt from 1990 to 2006, this article shows that closing negotiation chapters on domestic economic policyâ€”in other words, receiving a seal of approval from Brussels that previously existing policy reform is acceptable to the wider EUâ€”substantially decreases perceptions of default risk in those countries. That decrease operates independently from policy reform that the country has taken and is also distinct from selection processes (modeled here with new variables, including UNESCO World Heritage sites and domestic movie production, that proxy for cultural factors). Thus, this particular international organization has played an important role in coordinating market sentiment on members, conferring confidence that policy reform alone could not accomplish.",Two-way,17*16,"Beck and Katz (1995), Wilson and Butler (2004)","White SEs, Prais-Winsten",
10.2307/20647960,Partisan Waves: International Business Cycles and Electoral Choice,Mark Andreas Kayser,American Journal of Political Science,53,4,2009-10-01,pp. 950-970,"Pundits have often claimed, but scholars have never found, that partisan swings in the vote abroad predict electoral fortunes at home. Employing semiannual Eurobarometer data on vote intention in eight European countries, this article provides statistical evidence of international comovement in partisan vote intention and its provenance in international business cycles. Electoral support for ""luxury parties,"" those parties associated with higher spending and taxation, covaries across countries together with the business cycle. Both the domestic and international components of at least one economic aggregateâ€”unemploymentâ€”prove a strong predictor of shifts in domestic vote intention. Globalization, by driving business cycle integration, is also synchronizing partisan cycles.",One-way(Within),8*21,,,
10.2307/20647957,Lobbying and Taxes,"Brian Kelleher Richter, Krislert Samphantharak, Jeffrey F. Timmons",American Journal of Political Science,53,4,2009-10-01,pp. 893-909,"Lobbying dominates corporate political spending, but comprehensive studies of the benefits accrued are scarce. Using a dataset of all U.S. firms with publicly available financial statements, we delve into the tax benefits obtained from lobbying. Firms that spend more on lobbying in a given year pay lower effective tax rates in the next year. Increasing registered lobbying expenditures by 1% appears to lower effective tax rates by somewhere in the range of 0.5 to 1.6 percentage points for the average firm that lobbies. While individual firms amass considerable benefits, the costs of lobbying-induced tax breaks appear modest for the government.",Two-way,4000*6,,Lagged DV,
10.2307/20622373,Limited War and American Political Engagement,"Douglas Kriner, Francis Shen",The Journal of Politics,71,4,2009-10-01,pp. 1514-1529,"Prior studies of war and political engagement focus on mass mobilizing, successful conflicts and treat war as a monolithic variable affecting all Americans equally. In this study, we analyze the more limited, less successful conflicts prevalent since 1945, and we examine the influence of disparities in local communities' casualty rates on their residents' patterns of political engagement. Using both individual- and aggregate-level data, we show that citizens from communities that suffered high casualty rates in the Vietnam and Korean Wars were significantly less politically engaged in each conflict's wake than their peers from low-casualty communities.",Two-way,,"Beck, Katz and Tucker (1998)",,
10.2307/20622356,"Discharge Petitions, Agenda Control, and the Congressional Committee System, 1929-76","Kathryn Pearson, Eric Schickler",The Journal of Politics,71,4,2009-10-01,pp. 1238-1256,"The discharge petition process offers a simple majority of members of the U.S. House of Representatives a mechanism to circumvent gatekeeping imposed by committees and party leaders. Using recently discovered data on all discharge petitions filed from 1929 to 1976, along with public data from 1993 to 2006, we test hypotheses about partisan agenda control and the House committee system. Rather than universalistic norms of deference to committees, we find that members with a greater stake in the committee system were less likely to sign than were other members. In addition, northern Democrats, despite their majority party status, were more likely than Republicans to sign discharge petitions for much of the 1940-60s, in sharp contrast to majority party members' unwillingness to sign in the contemporary era.",One-way(Within),64*47,,,
10.2307/20622362,"Political Prowess or ""Lady Luck""? Evaluating Chief Executives' Legislative Success Rates",Sebastian M. Saiegh,The Journal of Politics,71,4,2009-10-01,pp. 1342-1356,"How successful should we expect chief executives to be in their relationships with the legislature? Answering this question is key to making judgments about the political prowess and lawmaking abilities of particular rulers. I introduce a standard to compare the actual performances of chief executives around the world based on the notion that variations in chief executives' legislative success rates stem from the unpredictability of legislators' behavior. The results underscore the role of uncertainty in statutory policymaking: on average, chief executives' performances are not much different from what should be expected if legislators flip coins to decide how to respond to their proposals. I also analyze the individual performance of chief executives statistically. The findings suggest that the standard by which we should judge the performance of chief executives cannot be conceived in isolation of the conditions under which they operate. So, for example, to be deemed as successful, a typical Westminster-style prime minister should be able to obtain passage of almost all of her pieces of legislation. In contrast, if a chief executive operating in a separation-of-powers system, with a highly fragmented legislature, secures passage for more than two-thirds of her proposals, she can be considered a very successful lawmaker.",One-way(Within),39*54,,,
10.2307/20622358,Democracy and Government Performance: Holding Incumbents Accountable in English Local Governments,"George A. Boyne, Oliver James, Peter John, Nicolai Petrovsky",The Journal of Politics,71,4,2009-10-01,pp. 1273-1284,"The link between government performance and support for incumbents is a key mechanism of accountable government. We model the vote share of incumbent administrations in local government as proportional and nonproportional responses to public service performance. We evaluate the models using a panel data set covering performance and elections from 2001 to 2007 in English local governments where an incumbent party or coalition was up for reelection. We control for the previous vote, whether the incumbent administration is of the national governing party, and local economic conditions. We find evidence for a nonproportional, performance threshold hypothesis, which implies that voters' behavior is affected by clear gradations of performance. Only the difference between low performance and at least mediocre performance matters. There is no reward for high performance. Instead our findings suggest negativity bias in the relationship between performance and electoral support for incumbents.",Two-way,148*6,,,
10.2307/27798530,Why Resource-poor Dictators Allow Freer Media: A Theory and Evidence from Panel Data,"GEORGY EGOROV, SERGEI GURIEV, KONSTANTIN SONIN",The American Political Science Review,103,4,2009-11-01,pp. 645-668,"Every dictator dislikes free media. Yet, many nondemocratic countries have partially free or almost free media. In this article, we develop a theory of media freedom in dictatorships and provide systematic statistical evidence in support of this theory. In our model, free media allow a dictator to provide incentives to bureaucrat and herefore to improve the quality of government. The importance of this benefit varies with the natural resource endowment. In resource-rich countries, bureaucratic incentives are less important for the dictator; hence, media freedom is less likely to emerge. Using panel data, we show that controlling for country fixed effects, media are less free in oil-rich economies, with the effect especially pronounced in nondemocratic regimes. These results are robust to model specification and the inclusion of various controls, including the level of economic development, democracy, country size, size of government, and others.",Two-way,147*15,,,
10.2307/27798525,When Left Is Right: Party Ideology and Policy in Post-Communist Europe,"MARGIT TAVITS, NATALIA LETKI",The American Political Science Review,103,4,2009-11-01,pp. 555-569,"According to the classic partisan theory of spending, leftist parties are expected to increase government spending, and rightist parties are expected to decrease it. We argue that this relationship does not hold in post-Communist countries, where in the context of dual transition to democracy and to a market economy, leftist parties have had stronger incentives and better opportunities to enact tighter budgets, whereas rightist parties were compelled to spend more in order to alleviate economic hardships. We illustrate this theoretical argument with case studies from Hungary and Poland. We then test and find support for our theory by considering the influence of cabinet ideology on total, health, and education spending in thirteen post-Communist democracies from 1989 to 2004. We explore various alternative explanations and provide further narratives to support our causal argument.",One-way(Within),13*15,,"PCSEs, Lagged DV",
10.2307/20647979,A Global Model for Forecasting Political Instability,"Jack A. Goldstone, Robert H. Bates, David L. Epstein, Ted Robert Gurr, Michael B. Lustik, Monty G. Marshall, Jay Ulfelder, Mark Woodward",American Journal of Political Science,54,1,2010-01-01,pp. 190-208,"Examining onsets of political instability in countries worldwide from 1955 to 2003, we develop a model that distinguishes countries that experienced instability from those that remained stable with a two-year lead time and over 80% accuracy. Intriguingly, the model uses few variables and a simple specification. The model is accurate in forecasting the onsets of both violent civil wars and nonviolent democratic reversals, suggesting common factors in both types of change. Whereas regime type is typically measured using linear or binary indicators of democracy/autocracy derived from the 21-point Polity scale, the model uses a nonlinear five-category measure of regime type based on the Polity components. This new measure of regime type emerges as the most powerful predictor of instability onsets, leading us to conclude that political institutions, properly specified, and not economic conditions, demography, or geography, are the most important predictors of the onset of political instability.",Unclear,*48,,,
10.2307/20647967,After Enactment: The Lives and Deaths of Federal Programs,"Christopher R. Berry, Barry C. Burden, William G. Howell",American Journal of Political Science,54,1,2010-01-01,pp. 1-17,"While many scholars have focused on the production of legislation, we explore life after enactment. Contrary to the prevailing view that federal programs are indissoluble, we show that programmatic restructurings and terminations are commonplace. In addition, we observe significant changes in programmatic appropriations. We suggest that a sitting congress is most likely to transform, kill, or cut programs inherited from an enacting congress when its partisan composition differs substantially. To test this claim, we examine the postenactment histories of every federal domestic program established between 1971 and 2003, using a new dataset that distinguishes program death from restructuring. Consistent with our predictions, we find that changes in the partisan composition of congresses have a strong influence on program durability and size. We thus dispel the notion that federal programs are everlasting while providing a plausible coalition-based account for their evolution.",One-way(Time),*32,,,
10.2307/20647970,International Institutions and Domestic Compensation: The IMF and the Politics of Capital Account Liberalization,"Bumba Mukherjee, David Andrew Singer",American Journal of Political Science,54,1,2010-01-01,pp. 45-60,"Certain governments have been faster than others in relaxing their restrictions on the cross-border movement of capital. How can we explain the timing and extent of financial liberalization across countries since the 1970s? We argue that IMF stabilization programs provide a window of opportunity for governments to initiate financial reforms, but that policy makers are more likely to seize this opportunity when welfare expenditures are high. Large loans from the IMF shield policy makers from the costs of financial reform, while welfare expenditures provide credibility to the government's ex ante promises of compensation to individuals who are harmed by the reforms. We test this hypothesis on data for 87 countries from 1975 to 2002. We employ a spatial autoregressive error sample selection model which accounts for the nonrandom participation of countries in IMF programs as well as the processes of international policy diffusion. The results provide strong support for the interactive effect of IMF programs and domestic welfare expenditures on financial liberalization.",Two-way,87*27,,,
10.2307/20622395,Democratic Competition and Terrorist Activity,Erica Chenoweth,The Journal of Politics,72,1,2010-01-01,pp. 16-30,"Why is terrorist activity more prevalent in democracies than in nondemocracies? I argue that the main motivation for terrorist attacks in democracies is intergroup dynamics, with terrorist groups of various ideologies competing with one another for limited political influence. I conduct a cross-national, longitudinal analysis of 119 countries for the period 1975-97, using political competition as the key independent variable and the number of transnational terrorist incidents originating in the country as the dependent variable. I find preliminary support for the hypothesis that intergroup competition, motivated by the competition of the political regime, explains an increase in terrorist incidents originating in a state. Evidence also reveals a positive relationship between political competition and the number of terrorist groups that emerge within a state and a positive relationship between the density of domestic interest group participation and terrorist activity. Officials should consider intergroup dynamics to predict terrorist activities and derive effective counterterrorism policies.",One-way(Within),119*22,,,
10.2307/20622407,Taxation and Representation in Recent History,Jeffrey F. Timmons,The Journal of Politics,72,1,2010-01-01,pp. 191-208,"This paper disaggregates government accounts to examine whether and how representation affects the level and distribution of taxation. Using panel data for over 100 countries from 1970 to 1999 and cross-sectional data for approximately 75 democracies from 1990 to 1998, we find that both democratization and voter turnout induced a modest but highly systematic increase in revenue from regressive taxes on consumption. While one-third of the increase due to democratization reflects a shift from more inefficient and similarly regressive taxes on trade, most of it was new revenue. Less convincingly, democratization and voter turnout also increased total tax revenue. By contrast, neither democracy, nor voter turnout systematically increased revenue from progressive taxes on income and capital. With reasonable assumptions about tax incidence and participation patterns, these findings shed light on competing conceptions of taxation and representation.",Two-way,106*29,Davidson and MacKinnon (1993),Lagged DV,
10.2307/27798539,Politicized Places: Explaining Where and When Immigrants Provoke Local Opposition,DANIEL J. HOPKINS,The American Political Science Review,104,1,2010-02-01,pp. 40-60,"In ethnic and racial terms, America is growing rapidly more diverse. Yet attempts to extend racial threat hypotheses to today's immigrants have generated inconsistent results. This article develops the politicized places hypothesis, an alternative that focuses on how national and local conditions interact to construe immigrants as threatening. Hostile political reactions to neighboring immigrants are most likely when communities undergo sudden influxes of immigrants and when salient national rhetoric reinforces the threat. Data from several sources, including twelve geocoded surveys from 1992 to 2009, provide consistent support for this approach. Time-series cross-sectional and panel data allow the analysis to exploit exogenous shifts in salient national issues such as the September 11 attacks, reducing the problem of residential self-selection and other threats to validity. The article also tests the hypothesis using new data on local anti-immigrant policies. By highlighting the interaction of local and national conditions, the politicized places hypothesis can explain both individual attitudes and local political outcomes.",Unclear,,,,
10.2307/27798544,Broad Bills or Particularistic Policy? Historical Patterns in American State Legislatures,"GERALD GAMM, THAD KOUSSER",The American Political Science Review,104,1,2010-02-01,pp. 151-170,"When do lawmakers craft broad policies, and when do they focus on narrow legislation tailored to a local interest? We investigate this question by exploring historical variation in the types of bills produced by American state legislatures. Drawing on a new database of 165,000 billsâ€“covering sessions over 120 years in thirteen different statesâ€“we demonstrate the surprising prominence of particularistic bills affecting a specific legislator's district. We then develop and test a theory linking the goals of legislators to their propensity to introduce district bills rather than broad legislation. We find that, consistent with our predictions, politicians are more likely to craft policies targeted to a particular local interest when a legislature is dominated by one party or when it pays its members relatively high salaries. These findings provide empirical support for Key's (1949) thesis that one-party politics descends into factionalism and undermines the making of broad public policy.",Two-way,120*13,,,
10.2307/25652218,Diversionary Despots? Comparing Autocracies' Propensities to Use and to Benefit from Military Force,"Jeffrey Pickering, Emizet F. Kisangani",American Journal of Political Science,54,2,2010-04-01,pp. 477-493,"This article adds to recent research that has begun to systematically analyze the varied conflict propensities of autocracies. Using political incentive theory, we develop hypotheses on the diversionary proclivities of three distinct types of autocratic regimes that contradict conventional wisdom and the findings of recent empirical studies. To provide a full rendering of autocracies' diversionary tendencies, we test our hypotheses with Generalized Method of Moments (GMM) models that capture reciprocal relationships among external military force and four of its potential domestic causes from 1950 to 2005. Although our results provide only partial support for political incentive theory, they demonstrate the utility of using properly identified reciprocal models and of analyzing refined conceptualizations of autocratic regimes. We find that certain types of autocracies are more prone to use diversionary force and to benefit from it than others.",Two-way,140*55,Arellano and Bond (1991),,
10.2307/25652211,"Party Strength, the Personal Vote, and Government Spending","David M. Primo, James M. Snyder, Jr.",American Journal of Political Science,54,2,2010-04-01,pp. 354-370,"Strong political parties within legislatures are one possible solution to the problem of inefficient universalism, a norm under which all legislators seek large projects for their districts that are paid for out of a common pool. We demonstrate that even if parties have no role in the legislature, their role in elections can be sufficient to reduce spending. If parties in the electorate are strong, then legislators will demand less distributive spending because of a decreased incentive to secure a ""personal vote"" via local projects. We estimate that spending in states with strong party organizations is at least 4% smaller than in states where parties are weak. We also find evidence that strong party states receive less federal aid than states with weak organizations, and we theorize that this is because members of Congress from strong party states feel less compelled to secure aid than members from weak party states.",Two-way,50*43,"Bertrand, Duflo and Mullainathan (2004)",,
10.2307/25652213,Untangling the Causal Effects of Sex on Judging,"Christina L. Boyd, Lee Epstein, Andrew D. Martin",American Journal of Political Science,54,2,2010-04-01,pp. 389-411,"We explore the role of sex in judging by addressing two questions of long-standing interest to political scientists: whether and in what ways male and female judges decide cases distinctlyâ€”""individual effects""â€”and whether and in what ways serving with a female judge causes males to behave differentlyâ€”""panel effects."" While we attend to the dominant theoretical accounts of why we might expect to observe either or both effects, we do not use the predominant statistical tools to assess them. Instead, we deploy a more appropriate methodology: semiparametric matching, which follows from a formal framework for causal inference. Applying matching methods to 13 areas of law, we observe consistent gender effects in only oneâ€”sex discrimination. For these disputes, the probability of a judge deciding in favor of the party alleging discrimination decreases by about 10 percentage points when the judge is a male. Likewise, when a woman serves on a panel with men, the men are significantly more likely to rule in favor of the rights litigant. These results are consistent with an informational account of gendered judging and are inconsistent with several others.",One-way(Time),,,,
10.2307/25652219,Political Competition and Ethnic Identification in Africa,"Benn Eifert, Edward Miguel, Daniel N. Posner",American Journal of Political Science,54,2,2010-04-01,pp. 494-510,"This article draws on data from over 35,000 respondents in 22 public opinion surveys in 10 countries and finds strong evidence that ethnic identities in Africa are strengthened by exposure to political competition. In particular, for every month closer their country is to a competitive presidential election, survey respondents are 1.8 percentage points more likely to identify in ethnic terms. Using an innovative multinomial logit empirical methodology, we find that these shifts are accompanied by a corresponding reduction in the salience of occupational and class identities. Our findings lend support to situational theories of social identification and are consistent with the view that ethnic identities matter in Africa for instrumental reasons: because they are useful in the competition for political power.",One-way(Within),10*3,,,
10.2307/40784675,Government Checking Government: How Performance Measures Expand Distributive Politics,"Anthony M. Bertelli, Peter John",The Journal of Politics,72,2,2010-04-01,pp. 545-558,"This paper argues that distributive politics operates in a variety of contexts in which governments seek to check the behavior of other governments. We provide a novel theoretical account of performance measurement systems as political discipline mechanisms even when measures are compiled by formally independent administrative agencies. We test the implications of our theory using a dataset of performance ratings in English local government assessed between 2002 and 2006. Results suggest that political influence favors swing voters, and local authorities sharing party affiliation with the incumbent central government are favored over those controlled by the opposition. Evidence further suggests that the independent rater in our empirical case is influenced through ties between its membership and the local authorities that it regulates. Our theoretical argument and findings have implications for many national and international contexts.",One-way(Time),*4,,,
10.2307/40784672,Ideological Polarization and the Vanishing of Marginals: Retrospective Roll-Call Voting in the U.S. Congress,Jeffrey W. Ladewig,The Journal of Politics,72,2,2010-04-01,pp. 499-512,"The extensive literature on the recent ideological polarization in the U. S. Congress has not provided much in the way of incremental and member-specific explanations. I develop such a theory; I posit that members' past electoral performance can influence their ideological extremity. This link requires a reexamination of congress members' roll-call vote calculus. To do so, /adapt the theory of citizen retrospective voting to congress members' roll-call voting. This new theory also provides a missing link in many studies of ideological shirking and democratic accountability. I test and confirm the theory of retrospective roll-call voting for the current period of ideological polarization, 1970 to 2008. As such, I argue that the recent trend of vanishing marginals has been a contributing cause in the recent trend of ideological polarization in the U. S. House.",One-way(Within),1607*5,,,
10.2307/40863721,Ministerial Selection and Intraparty Organization in the Contemporary British Parliament,"CHRISTOPHER KAM, WILLIAM T. BIANCO, ITAI SENED, REGINA SMYTH",The American Political Science Review,104,2,2010-05-01,pp. 289-306,"This article promotes a characterization of intraparty politics that explains how rank-and-file party members control the delegation of power to their cabinet ministers and shadow cabinet ministers. Using the uncovered set as a solution concept and a measure of party members' collective preferences, we explore the hypothesis that backbenchers' preferences constrain the ministerial selection process in a manner that mitigates agency problems. Specifically, promotion is distributed preferentially to members whose own policy preferences are proximate to the uncovered set of all party members' preferences. Our analysis of ministerial appointments in the contemporary British Parliament supports this view. For both the Labour and Conservative parties, front bench appointments are more sensitive to the collective preferences of backbenchers in each party as measured by the party uncovered set than to the preferences of the parties' leaders.",One-way(Time),*4,,,
10.2307/40863720,Estimating the Electoral Effects of Voter Turnout,"THOMAS G. HANSFORD, BRAD T. GOMEZ",The American Political Science Review,104,2,2010-05-01,pp. 268-288,"This article examines the electoral consequences of variation in voter turnout in the United States. Existing scholarship focuses on the claim that high turnout benefits Democrats, but evidence supporting this conjecture is variable and controversial Previous work, however, does not account for endogeneity between turnout and electoral choice, and thus, causal claims are questionable. Using election day rainfall as an instrumental variable for voter turnout, we are able to estimate the effect of variation in turnout due to across-the-board changes in the utility of voting. We re-examine the Partisan Effects and Two-Effects Hypotheses, provide an empirical test of an Anti-Incumbent Hypothesis, and propose a Volatility Hypothesis, which posits that high turnout produces less predictable electoral outcomes. Using county-lev el data from the 1948-2000 presidential elections, we find support for each hypothesis. Failing to address the endogeneity problem would lead researchers to incorrectly reject all but the Anti-Incumbent Hypothesis. The effect of variation in turnout on electoral outcomes appears quite meaningful. Although election-specific factors other than turnout have the greatest influence on who wins an election, variation in turnout significantly affects vote shares at the county, national, and Electoral College levels.",Two-way,2000*13,,,
10.2307/40863722,Migrant Remittances and Exchange Rate Regimes in the Developing World,DAVID ANDREW SINGER,The American Political Science Review,104,2,2010-05-01,pp. 307-323,"This article argues that the international financial consequences of immigration exert a substantial influence on the choice of exchange rate regimes in the developing world. Over the past two decades, migrant remittances have emerged as a significant source of external finance for developing countries, often exceeding conventional sources of capital such as foreign direct investment and bank lending. Remittances are unlike nearly all other capital flows in that they are stable and move counter cyclically relative to the recipient country's economy. As a result, they mitigate the costs of forgone domestic monetary policy autonomy and also serve as an international risk-sharing mechanism for developing countries. The observable implication of these arguments is that remittances increase the likelihood that policy makers adopt fixed exchange rates. An analysis of data on de facto exchange rate regimes and a newly available data set on remittances for up to 74 developing countries from 1982 to 2006 provides strong support for these arguments. The results are robust to instrumental variable analysis and the inclusion of multiple economic and political variables.",Two-way,74*14,,,
10.2307/40863719,Direct Democracy and Local Public Goods: Evidence from a Field Experiment in Indonesia,BENJAMIN A. OLKEN,The American Political Science Review,104,2,2010-05-01,pp. 243-267,"This article presents an experiment in which 49 Indonesian villages were randomly assigned to choose development projects through either representative-based meetings or direct election-based plebiscites. Plebiscites resulted in dramatically higher satisfaction among villagers, increased knowledge about the project, greater perceived benefits, and higher reported willingness to contribute. Changing the political mechanism had much smaller effects on the actual projects selected, with some evidence that plebiscites resulted in projects chosen by women being located in poorer areas. The results suggest that direct participation in political decision making can substantially increase satisfaction and legitimacy.",One-way(Time),49*2,,,
10.2307/27821948,Businessman Candidates,"Scott Gehlbach, Konstantin Sonin, Ekaterina Zhuravskaya",American Journal of Political Science,54,3,2010-07-01,pp. 718-736,"Why and when do businessmen run for public office rather than rely upon other means of influence? What are the implications of their participation for public policy? We show formally that ""businessman candidacy"" and public policy are jointly determined by the institutional environment. When institutions that hold elected officials accountable to voters are strong, businessmen receive little preferential treatment and are disinclined to run for office. When such institutions are weak, businessmen can subvert policy irrespective of whether they hold office, but they may run for office to avoid the cost of lobbying elected officials. Evidence from Russian gubernatorial elections supports the model's predictions. Businessman candidates emerge in regions with low media freedom and government transparency, institutions that raise the cost of reneging on campaign promises. Among regions with weaker institutions, professional politicians crowd out businessmen when the rents from office are especially large.",One-way(Time),88*3,,,
10.2307/27821941,The Electoral Costs of Party Loyalty in Congress,"Jamie L. Carson, Gregory Koger, Matthew J. Lebo, Everett Young",American Journal of Political Science,54,3,2010-07-01,pp. 598-616,"To what extent is party loyalty a liability for incumbent legislators? Past research on legislative voting and elections suggests that voters punish members who are ideologically ""out of step"" with their districts. In seeking to move beyond the emphasis in the literature on the effects of ideological extremity on legislative vote share, we examine how partisan loyalty can adversely affect legislators' electoral fortunes. Specifically, we estimate the effects of each legislator's party unityâ€”the tendency of a member to vote with his or her party on salient issues that divide the two major partiesâ€”on vote margin when running for reelection. Our results suggest that party loyalty on divisive votes can indeed be a liability for incumbent House members. In fact, we find that voters are not punishing elected representatives for being too ideological; they are punishing them for being too partisan.",One-way(Within),24*278,,,
10.2307/40784772,The Contradiction of Modernization: A Conditional Model of Endogenous Democratization,Ryan Kennedy,The Journal of Politics,72,3,2010-07-01,pp. 785-798,"Several very influential authors in political science and economics have recently argued that the relationship between economic development and democracy is extremely weak, spurious, or that the causal arrow is reversed. This analysis argues that a fundamental conceptual issue with how democratization is studied is responsible for their findings. Namely, economic development has the opposite effect on the onset and outcome of institutional change. In an analysis of 178 countries from 1816 to 2004, this study finds that economic development decreases the probability of major institutional change, but increases the probability that such a change will be towards democracy. This finding is remarkably robust to the inclusion of control variables and fixed-effects estimation.",One-way(Within),178*192,"Stimson (1985), Greene (1997), Carter and Signorino (2007)",Splines,
10.2307/40784766,International Scrutiny and Pre-Electoral Fiscal Manipulation in Developing Countries,"Susan D. Hyde, Angela O'Mahony",The Journal of Politics,72,3,2010-07-01,pp. 690-704,"Pre-electoral fiscal manipulation ΓÇö spending more or taxing less prior to an election ΓÇö is an important tool that governments possess to enhance their chances for reelection. Existing explanations of pre-electoral fiscal manipulation focus primarily on domestic characteristics. We extend this line of inquiry by examining international influences on governments' decisions to engage in pre-electoral fiscal manipulation. We find that international scrutiny of the economy and international scrutiny of elections affect pre-electoral fiscal manipulation in cross-cutting ways. Using data from 1990 to 2004 for 94 developing countries, we show that pre-electoral fiscal manipulation is more likely when international election monitors make direct election manipulation more difficulty and it is less likely when governments are subject to international economic scrutiny resulting from an IMF agreement.","One-way(Time), One-way(Within)",94*14,,,
10.2307/40784776,Foreign Aid Effectiveness and the Strategic Goals of Donor Governments,"David H. Bearce, Daniel C. Tirone",The Journal of Politics,72,3,2010-07-01,pp. 837-851,"This paper argues that foreign aid can promote economic growth in recipient countries by facilitating economic reform, but only when the strategic benefits associated with providing aid are small for donor governments. When the strategic benefits are large, foreign aid becomes ineffective because Western governments cannot credibly enforce their conditions for economic reform. This paper presents evidence consistent with both the cause and effect of this argument. Based on the understanding that Western aid was driven more (less) by strategic factors during the Cold War era (post-Cold War era), it shows that aid has been positively associated with economic reform, but only after 1990 when Western governments could more credibly threaten to curtail their aid if such reform was not forthcoming. It also shows that aid has promoted economic growth, but only after 1990 when the strategic benefits associated with aid provision declined for most Western donors.",Two-way,8*,,,Regional
